epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.44903,1.86218,3.99807,2.40567,0.63248,0.48659,0.55793,0.45255,1.32774,3.48592,1.99497,0.000132693,0.000132693,0.000132693
2,15.3547,1.56304,3.16753,2.30263,0.74264,0.5668,0.64289,0.41324,1.5204,2.90385,2.66561,0.000275585,0.000275585,0.000275585
3,21.986,1.44641,2.46631,2.20423,0.80248,0.6511,0.7614,0.4885,1.29819,2.56799,2.18621,0.000418447,0.000418447,0.000418447
4,28.4539,1.33898,2.1571,2.07214,0.82532,0.892,0.89881,0.59351,1.28977,2.00039,1.8975,0.000561254,0.000561254,0.000561254
5,34.9548,1.29748,1.99525,1.97146,0.90453,0.68881,0.80818,0.61348,1.19859,2.02561,1.83753,0.000703984,0.000703984,0.000703984
6,41.5768,1.26821,1.83213,1.89666,0.83506,0.81887,0.87328,0.64456,1.10458,1.94855,1.7372,0.000846612,0.000846612,0.000846612
7,48.2937,1.24528,1.75431,1.85997,0.79394,0.89815,0.87057,0.62582,1.13589,1.76427,1.77738,0.000989116,0.000989116,0.000989116
8,54.6496,1.2276,1.71614,1.81765,0.84157,0.89191,0.92693,0.66561,1.04711,2.08201,1.67381,0.00113147,0.00113147,0.00113147
9,61.0584,1.22146,1.6525,1.79494,0.84747,0.90201,0.91071,0.65592,1.14867,1.97234,1.82752,0.00127366,0.00127366,0.00127366
10,67.427,1.23472,1.69687,1.82328,0.82536,0.7787,0.84203,0.59295,1.20765,2.09862,1.85968,0.00141564,0.00141564,0.00141564
11,73.8643,1.23518,1.63815,1.8173,0.77287,0.82037,0.88998,0.61712,1.17633,5.7678,1.84848,0.00142509,0.00142509,0.00142509
12,80.1214,1.22394,1.62891,1.80665,0.89358,0.71821,0.84455,0.58627,1.32401,2.62304,1.96772,0.00142427,0.00142427,0.00142427
13,86.3475,1.24213,1.63932,1.81703,0.91255,0.81547,0.89364,0.63673,1.28094,1.7269,1.9232,0.00142337,0.00142337,0.00142337
